,temp_0.0,temp_0.1,temp_0.2,temp_0.30000000000000004,temp_0.4,temp_0.5,temp_0.6000000000000001,temp_0.7000000000000001,temp_0.8,temp_0.9,temp_1.0,temp_1.1,temp_1.2000000000000002,temp_1.3,temp_1.4000000000000001,temp_1.5,temp_1.6,temp_1.7000000000000002,temp_1.8,temp_1.9000000000000001,temp_2.0
87,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
91,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0
92,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
93,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1
94,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0
95,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
97,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1
98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
100,0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1
